EPA ID,EColiSTX1_GUPerML,DetectionLevel
B-109-C-30-T,1.422,BDL
B-109-C-T2,0.918,BDL
B-101-S-30-T,5.4,BDL
B-101-S-T2,2.934,BDL
B-110-x-30-T,1.71,BDL
B-110-X-T2,1.566,BDL
B-206-P-30-T,1.692,BDL
B-206-P-T2,2.052,BDL
B-203-P-30-T,0.666,BDL
B-203-P-T2,1.854,BDL
B-405-X-30-T,2.682,BDL
B-405-X-T2,1.548,BDL
B-406-S-30-T,2.07,BDL
B-406-S-T2,3.15,BDL
B-411-S-30-T,1.764,BDL
B-411-S-T2,1.62,BDL
B-412-C-30-T,1.161,BDL
B-412-C-T2,3.762,BDL
B-107-C-30-T,3.006,BDL
B-107-C-T2,1.98,BDL
B-501-X-30-T,2.268,WR
B-501-X-T2,3.708,BDL
B-502-S-30-T,0.774,WR
B-502-S-T2,0.954,BDL
B-502-S-T2,0.954,BDL
B-502-S-T2,4.781326209,BDL
B-111-S-30-T,1.262137,BDL
B-111-S-T2,1.26,BDL
B-209-C-30-T,1.566,BDL
B-209-C-T2,1.458,BDL
B-210-S-30-T,2.556,BDL
B-210-S-T2,1.476,BDL
B-307-C-30-T,3.06,BDL
B-307-C-T2,1.26,BDL
B-308-X-30-T,1.44,BDL
B-308-X-T2,2.25,BDL
B-407-X-30-T,6.436899,BDL
B-407-X-T2,2.052,BDL
B-105-X-30-T,4.41748,BDL
B-105-X-T2,3.024,BDL
B-503-C-30-T,1.62,BDL
B-503-C-T2,4.130192992,BDL
B-504-X-30-T,1.476,BDL
B-504-X-T2,5.530867137,BDL
B-202-S-30-T,1.728,BDL
B-202-S-T2,0.846,BDL
B-401-S-30-T,0.846,BDL
B-401-S-T2,2.52,BDL
B-402-X-30-T,1.404,BDL
B-402-X-T2,1.296,BDL
B-403-C-30-T,1.944,BDL
B-403-C-T2,1.944,BDL
B-409-C-30-T,1.512,BDL
B-409-C-T2,0.864,BDL
B-410-S-30-T,1.224,BDL
B-410-S-T2,1.44,BDL
B-102-P-30-T,,ANP
B-102-P-T2,,ANP
B-205-C-30-T,,ANP
B-205-C-T2,,ANP
B-204-X-30-T,,ANP
B-204-X-T2,,ANP
B-108-P-30-T,,ANP
B-108-P-T2,,ANP
B-112-P-30-T,,ANP
B-112-P-T2,,ANP
B-408-P-30-T,,ANP
B-408-P-T2,,ANP
B-106-P-30-T,,ANP
B-106-P-T2,,ANP
B-201-P-30-T,,ANP
B-201-P-T2,,ANP
B-404-P-30-T,,ANP
B-404-P-T2,,ANP
