SampleID,SalmonellaCulturableWildType_MPNPerML,DetectionLevel,,,,,,,,
D-101-S-30-T2,0.03,BDL,,,,,,,,
D-101-S-T2,0.03,BDL,,,,,,,,
D-102-P-30-T2,200.00,WR,,,,,,,,
D-102-P-T2,0.03,BDL,,,,,,,,
D-105-X-30-T2,0.03,BDL,,,,,,,,
D-105-X-T2,0.03,BDL,,,,,,,,
D-106-P-30-T2,0.03,BDL,,,,,,,,
D-106-P-T2,0.03,BDL,,,,,,,,
D-107-C-30-T2,0.03,BDL,,,,,,,,
D-107-C-T2,0.03,BDL,,,,,,,,
D-108-P-30-T2,0.03,BDL,,,,,,,,
D-108-P-T2,0.03,BDL,,,,,,,,
D-109-C-30-T2,0.12,WR,,,,,,,,
D-109-C-T2,0.03,BDL,,,,,,,,
D-110-X-30-T2,0.03,BDL,,,,,,,,
D-110-X-T2,0.03,WR,,,,,,,,
D-111-S-30-T2,0.03,BDL,,,,,,,,
D-111-S-T2,0.03,BDL,,,,,,,,
D-112-P-30-T2,0.03,BDL,,,,,,,,
D-112-P-T2,0.03,BDL,,,,,,,,
D-201-P-30-T2,0.03,BDL,,,,,,,,
D-201-P-T2,0.03,BDL,,,,,,,,
D-202-S-30-T2,0.03,BDL,,,,,,,,
D-202-S-T2,0.03,BDL,,,,,,,,
D-203-P-30-T2,0.03,BDL,,,,,,,,
D-203-P-T2,0.03,BDL,,,,,,,,
D-204-X-30-T2,0.03,BDL,,,,,,,,
D-204-X-T2,0.03,BDL,,,,,,,,
D-205-C-30-T2,0.03,BDL,,,,,,,,
D-205-C-T2,0.03,BDL,,,,,,,,
D-206-P-30-T2,0.03,BDL,,,,,,,,
D-206-P-T2,0.03,BDL,,,,,,,,
D-209-C-30-T2,0.03,BDL,,,,,,,,
D-209-C-T2,0.03,BDL,,,,,,,,
D-210-S-30-T2,0.03,BDL,,,,,,,,
D-210-S-T2,0.03,BDL,,,,,,,,
D-307-C-30-T2,0.03,BDL,,,,,,,,
D-307-C-T2,0.03,BDL,,,,,,,,
D-308-X-30-T2,0.03,BDL,,,,,,,,
D-308-X-T2,0.03,BDL,,,,,,,,
D-401-S-30-T2,0.03,BDL,,,,,,,,
D-401-S-T2,0.03,BDL,,,,,,,,
D-402-X-30-T2,0.03,BDL,,,,,,,,
D-402-X-T2,0.03,BDL,,,,,,,,
D-403-C-30-T2,,ANP,,,,,,,,
D-403-C-T2,,ANP,,,,,,,,
D-404-P-30-T2,,ANP,,,,,,,,
D-404-P-T2,0.03,BDL,,,,,,,,
D-405-X-30-T2,0.03,BDL,,,,,,,,
D-405-X-T2,0.03,BDL,,,,,,,,
D-406-S-30-T2,0.03,BDL,,,,,,,,
D-406-S-T2,0.03,BDL,,,,,,,,
D-407-X-30-T2,0.03,BDL,,,,,,,,
D-407-X-T2,0.03,BDL,,,,,,,,
D-408-P-30-T2,,ANP,,,,,,,,
D-408-P-T2,0.03,BDL,,,,,,,,
D-409-C-30-T2,,ANP,,,,,,,,
D-409-C-T2,0.03,BDL,,,,,,,,
D-410-S-30-T2,,ANP,,,,,,,,
D-410-S-T2,0.03,BDL,,,,,,,,
D-411-S-30-T2,0.03,BDL,,,,,,,,
D-411-S-T2,0.03,BDL,,,,,,,,
D-412-C-30-T2,0.03,BDL,,,,,,,,
D-412-C-T2,0.03,BDL,,,,,,,,
D-501-X-30-T2,0.03,BDL,,,,,,,,
D-501-X-T2,0.03,BDL,,,,,,,,
D-502-S-30-T2,0.03,BDL,,,,,,,,
D-502-S-T2,0.03,BDL,,,,,,,,
D-503-C-30-T2,0.03,BDL,,,,,,,,
D-503-C-T2,0.03,BDL,,,,,,,,
D-504-X-30-T2,0.03,BDL,,,,,,,,
D-504-X-T2,0.03,BDL,,,,,,,,
