SampleID,SalmonellaQPCR_GUPerML,DetectionLevel,SalmonellaQPCR_GUPer100ML,,
A-101-S-30-T,7.84,BQL,784.3275,,
A-101-S-T2,20.92,WR,2092.00968,,
A-102-P-30-T,0.56,BDL,55.8,,
A-102-P-T2,0.54,BDL,54,,
A-109-C-40-T,1.03,BDL,102.6,,
A-109-C-T2,2.75,BDL,275.4,,
A-110-C-T2-a,0.61,BDL,61.2,,
A-110-C-T2-b,1.26,BDL,126,,
A-203-P-30-T,6.51,BDL,650.7702,,
A-203-P-T2,0.54,BDL,54,,
A-204-X-30-T,1.08,WR,108,,
A-204-X-T2,1.22,BDL,122.4,,
A-205-C-30-T,0.37,BQL,37.179,,
A-205-C-T2-a,16.41,WR,1640.727,,
A-206-P-30-T,0.54,BDL,54,,
A-206-P-T2,0.70,BDL,70.2,,
A-405-X-30-T,15.14,BQL,1513.5552,,
A-405-X-T2,0.90,BDL,90,,
A-406-S-30-T,0.90,BDL,90,,
A-406-S-T2-a,3.06,BDL,306,,
A-411-S-T2,37.56,WR,3756.2112,,
A-412-C-T2,0.61,BDL,61.2,,
A-104-X-T2,0.80,BDL,80.1,,
A-108-P-30-T,0.54,BDL,54,,
A-108-P-T2,0.54,BDL,54,,
A-501-X-30-T,1.78,BDL,178.2,,
A-501-X-T2,1.46,BDL,145.8,,
A-502-S-30-T,0.88,BDL,88.2,,
A-502-S-T2,2.12,BQL,212.1336,,
A-107-C-30-T,2.48,BDL,248.4,,
A-107-C-T2,4.67,BQL,466.8624,,
A-111-S-30-T,0.77,BDL,77.4,,
A-111-S-T2,0.92,BDL,91.8,,
A-112-P-30-T,2.99,BQL,299.313,,
A-112-P-T2,0.94,BDL,93.6,,
A-209-C-30-T,0.83,BDL,82.8,,
A-209-C-T2,1.22,BDL,122.4,,
A-210-S-T2,1.17,BDL,117,,
A-307-C-30-T,1.17,BDL,117,,
A-307-C-T2,0.79,BDL,79.2,,
A-308-X-30-T,2.59,BDL,259.2,,
A-308-X-T2,1.70,BQL,170.262,,
A-407-X-30-T,9.98,BQL,997.839,,
A-407-X-T2,13.11,BQL,1311.4332,,
A-408-P-30-T,0.54,BDL,54,,
A-408-P-T2,1.62,BDL,162,,
A-105-X-30-T,3.96,BQL,395.9334,,
A-105-X-T2,5.08,BQL,508.131,,
A-106-P-30-T,1.06,BDL,106.2,,
A-106-P-T2,1.84,BDL,183.6,,
A-503-C-30-T,0.68,BDL,68.4,,
A-503-C-T2,1.13,BDL,113.4,,
A-504-X-30-T,1.73,BQL,172.8,,
A-504-X-T2,19.91,WR,1990.5093,,
A-201-P-30-T,2.18,BDL,217.8,,
A-201-P-T2,1.85,BDL,185.4,,
A-202-S-30-T,2.59,BDL,259.2,,
A-202-S-T2,3.31,BDL,331.2,,
A-401-S-30-T,2.66,BDL,266.4,,
A-401-S-T2,0.95,BDL,95.4,,
A-402-X-30-T,2.45,BDL,244.8,,
A-402-X-T2,1.91,BDL,190.8,,
A-403-C-30-T,2.38,BDL,237.6,,
A-403-C-T2,3.13,BDL,313.2,,
A-404-P-30-T,0.90,BDL,90,,
A-404-P-T2,1.22,BDL,122.4,,
A-409-C-30-T,1.17,BDL,117,,
A-409-C-T2,1.44,BDL,144,,
A-410-S-30-T,2.74,BDL,273.6,,
A-410-S-T2,2.56,BDL,255.6,,
